client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461	common_voice_ja_19496607.mp3	この箱はとても重いです。	1	0	twenties	male		ja	
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461	common_voice_ja_19496625.mp3	けさテレビでニュースを見ました。	1	0	twenties	male		ja	
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461	common_voice_ja_19496626.mp3	スーパーへ買い物に行きます。	1	0	twenties	male		ja	
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461	common_voice_ja_19496627.mp3	おなかが痛いので、病院へ行きます。	0	1	twenties	male		ja	
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461	common_voice_ja_19496631.mp3	全部で十あります。	1	0	twenties	male		ja	
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461	common_voice_ja_19496633.mp3	うちにはテレビが三台あります。	1	0	twenties	male		ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19500895.mp3	きのうは疲れていたので、今朝遅く起きました。	1	1				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19500923.mp3	夕飯を食べて、おふろに入って、寝ます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19500924.mp3	どうしてですか。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19502606.mp3	家の前は公園です。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19502621.mp3	持ち物は、食器着替えの下着、タオル、洗面用具などだ。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19502625.mp3	日本人は、引き揚げの苦しさばかり言い、中国人の傷を考えない。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507423.mp3	また、御都合がよろしければ、その晩、夕食に御招待したいと存じます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507432.mp3	あさって野球の試合があります。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507433.mp3	木村さんに英語を教えます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507435.mp3	公園を散歩して、家へ帰ります。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507436.mp3	牛肉は肉の中で一番高いです。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507438.mp3	使わない物を本棚の上に上げます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507441.mp3	このかばんは大きくて、重いです。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507447.mp3	わたしはスポーツがすきではありません。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507449.mp3	林さんはコンピューターの会社で働いています。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507460.mp3	入試前の夏休みだというのに、本ばかり読みふけっていた。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507461.mp3	田中さんは林さんに仕事を頼まれました。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507462.mp3	群衆行動で恐ろしいのは、どさくさまぎれの心理だ。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507466.mp3	きのうカラオケに行きましたが、あまり歌いませんでした。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507469.mp3	あそこに小さい女の子がいます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507475.mp3	わたしは毎朝散歩に行きます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507477.mp3	母に料理を教えてもらいました。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507485.mp3	田中さんの車は白くて大きいです。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507491.mp3	このボールペンはいくらですか。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507513.mp3	妹はきょうも高い熱が続いているので、心配です。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507515.mp3	ちゃんとした文章をしゃべらず、単語で間に合わせる。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507526.mp3	山田さんは、お父さんが医者です。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507528.mp3	変わりびなは世相をつづる。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507531.mp3	わたしは砂糖を入れて、コーヒーを飲みます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507533.mp3	あそこにたくさん店が並んでいます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507535.mp3	鳥が水を飲んでいます。	0	1				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507537.mp3	そっちへ行くと、郵便局や銀行があります。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507538.mp3	きょうは友達と晩ごはんを食べます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507540.mp3	いくつありますか。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507542.mp3	あしたの夜は友達と会うので、出かけます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507544.mp3	バスで学校に行きます。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_19507545.mp3	きのう友達に手紙を書きました。	1	0				ja	
1ef414c9abc5c39e7e5c135c9de36bbfd009f3e14be0d3e05cb0a36d07e60576d86def828d8c976460126dddc1a1bacfaa469b11a421c813d5443a33e198c66b	common_voice_ja_20446584.mp3	ええ、いいですよ。	1	0		male		ja	
1ef414c9abc5c39e7e5c135c9de36bbfd009f3e14be0d3e05cb0a36d07e60576d86def828d8c976460126dddc1a1bacfaa469b11a421c813d5443a33e198c66b	common_voice_ja_20446588.mp3	松井さんのうちはわたしのうちのそばです。	1	0		male		ja	
1ef414c9abc5c39e7e5c135c9de36bbfd009f3e14be0d3e05cb0a36d07e60576d86def828d8c976460126dddc1a1bacfaa469b11a421c813d5443a33e198c66b	common_voice_ja_20446594.mp3	だまされるほうの、知識水準に問題があるのでございます。	1	0		male		ja	
1ef414c9abc5c39e7e5c135c9de36bbfd009f3e14be0d3e05cb0a36d07e60576d86def828d8c976460126dddc1a1bacfaa469b11a421c813d5443a33e198c66b	common_voice_ja_20446596.mp3	時間領域と空間領域で共通する処理手法はフィルタリングによる入力信号の強化である	1	0		male		ja	
1ef414c9abc5c39e7e5c135c9de36bbfd009f3e14be0d3e05cb0a36d07e60576d86def828d8c976460126dddc1a1bacfaa469b11a421c813d5443a33e198c66b	common_voice_ja_20446598.mp3	ちょっと待ってください。	1	0		male		ja	
1ef414c9abc5c39e7e5c135c9de36bbfd009f3e14be0d3e05cb0a36d07e60576d86def828d8c976460126dddc1a1bacfaa469b11a421c813d5443a33e198c66b	common_voice_ja_20446600.mp3	鉛筆だと、力をいれて、書くのでスピードが鈍るのである。	1	0		male		ja	
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461	common_voice_ja_20591777.mp3	日本では二十歳からお酒が飲めます。	1	1	twenties	male		ja	
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461	common_voice_ja_20591882.mp3	子供がお菓子を欲しがっています。	1	0	twenties	male		ja	
c1ce857360e10c8727a8b87e1fc3c7a50c5389ea134a7dad1dd903cbdd7f7930a6041505d3fdffcf5d922661d4fd352160d0b4eff706b605899a06c78964bd99	common_voice_ja_20640255.mp3	スピーチが下手なのだから、原稿を、用意したほうがいい。	1	0				ja	
c1ce857360e10c8727a8b87e1fc3c7a50c5389ea134a7dad1dd903cbdd7f7930a6041505d3fdffcf5d922661d4fd352160d0b4eff706b605899a06c78964bd99	common_voice_ja_20640344.mp3	また、襟や、袖口ポケット口などが、油汚れで変色を起こすこともあります。	1	0				ja	
c1ce857360e10c8727a8b87e1fc3c7a50c5389ea134a7dad1dd903cbdd7f7930a6041505d3fdffcf5d922661d4fd352160d0b4eff706b605899a06c78964bd99	common_voice_ja_20640360.mp3	そちらはイさんです。	1	0				ja	
c1ce857360e10c8727a8b87e1fc3c7a50c5389ea134a7dad1dd903cbdd7f7930a6041505d3fdffcf5d922661d4fd352160d0b4eff706b605899a06c78964bd99	common_voice_ja_20640522.mp3	わたしはきのうからのどが痛いです。	1	0				ja	
ae366c54d8ae632ccd1098f7d9462913e0b7688c1f7ed3cbf6f3da6ec93b61f007fc59b1abf1f076ff9aa64b50266c5c638d967da8e51f28517ffa0b27aedd5d	common_voice_ja_20659424.mp3	十時五十一分です。	1	0				ja	
c26b5026d43709b6b49e3d5ef6a8805d0bf166e3d2f64b47581e24e9ea1a79cb066da370916090a4c758b4723d8d2fbee2be7e5760cf23bf7e5f13e03c6bac4f	common_voice_ja_22741313.mp3	隣の部屋にだれかいましたか。	1	0		male		ja	
